heating_type,building_type,area,income,climate_zone,vintage,insulation_level,count,bldg_ids,zip_codes,elec_weights,gas_weights
Natural Gas,Large MF,4000+,Moderate Income,Cold,<1960,Poor Insulation,1,157272,02746,252.30163873025225,252.30163873025225
Natural Gas,Mobile,0-1499,High Income,Cold,1960-2000,Poor Insulation,1,321260,02746,252.30163873025225,252.30163873025225
Natural Gas,Mobile,0-1499,Low Income,Cold,1960-2000,Average Insulation,1,100597,02360,252.30163873025225,126.15081936512613
Natural Gas,Mobile,0-1499,Low Income,Cold,1960-2000,Poor Insulation,3,21824|408846|496412,02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|126.15081936512613
Natural Gas,Mobile,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,3,398234|440351|538875,02360|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|252.30163873025225
Natural Gas,Mobile,0-1499,Moderate Income,Cold,>2000,Poor Insulation,1,492919,02360,252.30163873025225,126.15081936512613
Natural Gas,Mobile,1500-2499,Low Income,Cold,1960-2000,Poor Insulation,1,42790,02746,252.30163873025225,252.30163873025225
Natural Gas,Mobile,1500-2499,Moderate Income,Cold,>2000,Average Insulation,1,44215,02360,252.30163873025225,126.15081936512613
Natural Gas,Mobile,1500-2499,Moderate Income,Cold,>2000,Poor Insulation,2,53500|503779,02746|02746,252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225
Natural Gas,SF,0-1499,High Income,Cold,1960-2000,Average Insulation,9,48346|77349|88331|117314|280267|307105|311329|415607|487771,02746|02360|02360|02746|02360|02360|02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613
Natural Gas,SF,0-1499,High Income,Cold,1960-2000,Poor Insulation,15,72692|87292|116007|119502|200754|234271|275769|285998|310977|324049|356768|365434|378590|409566|471151,02360|02360|02746|02746|02360|02746|02360|02360|02360|02746|02360|02746|02746|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613
Natural Gas,SF,0-1499,High Income,Cold,<1960,Poor Insulation,15,8078|33533|39617|69162|114701|238738|240362|247277|384812|393625|424890|429850|507080|508511|532802,02746|02360|02746|02360|02360|02360|02360|02360|02746|02746|02746|02360|02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613
Natural Gas,SF,0-1499,High Income,Cold,>2000,Average Insulation,2,97035|280907,02360|02746,252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225
Natural Gas,SF,0-1499,High Income,Cold,>2000,Poor Insulation,2,106834|524595,02360|02360,252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613
Natural Gas,SF,0-1499,Low Income,Cold,1960-2000,Average Insulation,1,238670,02746,252.30163873025225,252.30163873025225
Natural Gas,SF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,12,33895|60205|62038|71936|73896|162065|260143|317231|335384|463290|469008|481551,02360|02360|02360|02360|02360|02746|02746|02360|02360|02360|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225
Natural Gas,SF,0-1499,Low Income,Cold,<1960,Average Insulation,1,108722,02360,252.30163873025225,126.15081936512613
Natural Gas,SF,0-1499,Low Income,Cold,<1960,Poor Insulation,30,7911|8851|32301|51776|72111|75099|79878|111024|114528|124150|183673|196441|199457|203871|223400|229529|240847|274835|295372|302961|306277|325879|338411|364953|377700|430544|436467|487095|493464|506037,02360|02746|02746|02746|02746|02360|02360|02360|02746|02746|02360|02746|02746|02360|02360|02746|02746|02360|02360|02746|02360|02360|02360|02746|02746|02746|02360|02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225
Natural Gas,SF,0-1499,Moderate Income,Cold,1960-2000,Average Insulation,2,6384|190283,02746|02746,252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225
Natural Gas,SF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,35,7335|21124|25307|52717|62655|64656|72609|103638|112720|124991|151617|151763|162915|167184|175937|178627|205350|223753|241529|258496|259305|278717|335721|347673|348240|383182|385229|394089|401102|405159|406465|464705|484637|495023|545506,02360|02360|02360|02746|02746|02746|02746|02360|02360|02746|02746|02360|02746|02360|02360|02360|02746|02746|02746|02746|02360|02360|02360|02746|02746|02360|02360|02746|02360|02360|02360|02360|02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613
Natural Gas,SF,0-1499,Moderate Income,Cold,<1960,Average Insulation,2,36524|396702,02746|02746,252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225
Natural Gas,SF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,32,183|3547|6071|11591|30817|52352|80854|81024|91771|96818|102580|109179|140333|169695|241739|259506|308332|342481|346228|378030|379995|389652|393262|401758|419114|423965|433812|437923|445791|479774|524826|532551,02360|02746|02360|02746|02360|02746|02746|02360|02746|02360|02746|02360|02360|02360|02746|02746|02746|02360|02746|02746|02746|02746|02360|02360|02746|02746|02746|02360|02360|02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225
Natural Gas,SF,0-1499,Moderate Income,Cold,>2000,Average Insulation,5,207643|247412|251893|336828|398631,02746|02746|02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613
Natural Gas,SF,0-1499,Moderate Income,Cold,>2000,Poor Insulation,2,49803|318792,02746|02360,252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613
Natural Gas,SF,1500-2499,High Income,Cold,1960-2000,Average Insulation,7,19488|153982|184983|277295|311830|427422|449381,02746|02746|02360|02360|02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613
