bldg_id,in.city,in.county_name,area,building_type,in.heating_setpoint,in.hvac_cooling_efficiency,cooling_type,heating_efficiency,heating_type,income,insulation_level,in.vintage,vintage,climate_zone,has_solar,in.weather_file_latitude,in.weather_file_longitude,out.bills.all_fuels.usd,out.bills.electricity.usd,out.bills.natural_gas.usd,out.electricity.cooling.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.summer.peak.kw,out.electricity.total.energy_consumption.kwh,out.electricity.winter.peak.kw,out.energy_burden.percentage,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,weight,in.state,in.zip_code,in.utility_name,in.gas_utility_name,elec_weight,gas_weight
177503,In another census Place,Carver,1500-2499,SF,65F,"Room AC, EER 12.0",Room AC,Low Htg Eff,Other,Moderate Income,Poor Insulation,<1940,<1960,Cold,No,44.82,-93.45,2105.081428942534,2105.081428942534,0.0,609.8808970283944,0.0,10.6166,15643.254512582706,11.0429,2.81,0.0,0.0,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
177614,"MN, Maplewood",Ramsey,0-1499,SF,67F,"AC, SEER 13",High Eff AC,High Htg Eff,Electric Resistance,High Income,Poor Insulation,1950s,<1960,Cold,No,44.964135999999996,-92.99490107374541,5853.242826061319,5853.242826061319,0.0,1522.2111384745222,29953.32872695197,9.3216,43629.490216538725,30.2183,4.53,0.0,0.0,252.30163873025225,MN,55119,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
177648,"MN, Burnsville",Dakota,4000+,SF,68F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Good Insulation,1980s,1960-2000,Cold,No,44.7739765,-93.27635857294977,3449.4091134816395,1855.8791134816395,1593.53,1728.5331718757666,0.0,6.2619,13782.546288059266,4.7318999999999996,1.82,46277.094264474574,57191.64705982847,252.30163873025225,MN,55337,Northern States Power Co - Minnesota,Mn Energy Res Corp|Centerpoint Energy|Northern States Pwr Co,252.30163873025225,84.10054624341741
178212,"MN, Bloomington",Hennepin,1500-2499,SF,70F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1950s,<1960,Cold,No,44.8239025,-93.31703752555529,2364.837375231872,829.8673752318724,1534.97,974.7543793928111,0.0,3.8611,6121.668513757379,3.3488,3.67,51997.84155423636,54895.43522502912,252.30163873025225,MN,55431,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
178321,"MN, Bloomington",Hennepin,1500-2499,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1970s,1960-2000,Cold,No,44.8239025,-93.31703752555529,1921.4846398113227,984.0046398113228,937.48,912.3302414461277,0.0,9.242299999999998,7272.558606323695,9.2376,2.57,27931.43141383381,31466.74773332133,252.30163873025225,MN,55431,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
178335,"MN, Woodbury",Washington,0-1499,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1990s,1960-2000,Cold,No,44.905228,-92.92340786091235,2363.6851213888685,1228.0651213888686,1135.62,720.07561941315,0.0,2.7137,9094.874520654572,2.9536,3.16,19877.2522633608,39236.061803586934,252.30163873025225,MN,55125,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
178520,"MN, Woodbury",Washington,2500-3999,SF,67F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,High Income,Poor Insulation,1980s,1960-2000,Cold,No,44.905228,-92.92340786091235,4520.605783882722,2188.1357838827216,2332.47,1121.5829855490945,0.0,8.8523,16263.392897067128,9.0656,3.51,84103.7772916033,86166.70455454556,252.30163873025225,MN,55125,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
178576,In another census Place,Hennepin,4000+,SF,68F,None,None,High Htg Eff,Electric Resistance,High Income,Average Insulation,<1940,<1960,Cold,No,45.07,-93.35,9410.96011629457,9410.96011629457,0.0,0.0,54836.23486885433,11.7534,70193.74508801912,41.266,3.36,0.0,0.0,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
178722,"MN, St Paul",Ramsey,0-1499,SF,68F,"Room AC, EER 10.7",Room AC,Medium Htg Eff,Natural Gas,Low Income,Poor Insulation,<1940,<1960,Cold,No,44.93,-93.05,2149.6769032339175,877.5569032339178,1272.12,376.5963251713055,0.0,3.2256,6477.749864016629,3.4002,5.73,37041.83870120751,44588.41875814223,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co|Mn Energy Res Corp,252.30163873025225,84.10054624341741
179133,Not in a census Place,Trempealeau,1500-2499,SF,72F,"AC, SEER 13",High Eff AC,High Htg Eff,Electric Resistance,Moderate Income,Average Insulation,<1940,<1960,Cold,No,44.08,-91.7,4841.901582384762,4594.381582384762,247.52,1283.065145213989,24540.012989800853,3.774,31834.258855317297,17.765099999999997,7.6,0.0,4335.400341057683,252.30163873025225,MN,55987,Northern States Power Co - Minnesota,Mn Energy Res Corp|Northern States Pwr Co,252.30163873025225,126.15081936512613
179427,"MN, Maple Grove",Hennepin,1500-2499,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,2010s,>2000,Cold,No,45.108813,-93.46237210754585,1671.1442006924844,803.8442006924846,867.3,735.6083861322777,0.0,10.9986,5927.362394233195,10.2713,1.3,24147.883897910422,28715.103455474335,252.30163873025225,MN,55369,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
179494,"MN, Eden Prairie",Hennepin,2500-3999,SF,68F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Average Insulation,1980s,1960-2000,Cold,No,44.845391500000005,-93.45981585174584,2453.691880969478,1121.3818809694783,1332.31,817.6682857805,0.0,2.8928000000000003,8298.307351926473,3.1581,3.33,41096.476957040206,46948.81315730931,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
179676,"MN, Burnsville",Dakota,4000+,SF,65F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,1990s,1960-2000,Cold,No,44.7739765,-93.27635857294977,3610.736964283522,2245.166964283522,1365.57,2169.8982035551335,0.0,8.041,16689.225162027367,7.576899999999999,3.31,41318.33175716058,48252.9794195757,252.30163873025225,MN,55337,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy|Mn Energy Res Corp,252.30163873025225,84.10054624341741
179916,In another census Place,Carver,2500-3999,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1980s,1960-2000,Cold,No,44.82,-93.45,3377.160552775028,1193.2105527750282,2183.95,1460.9592848085279,0.0,14.1144,8834.627410341638,13.6565,2.0,76336.5147188289,80343.08931915334,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
179919,"MN, St Paul",Ramsey,2500-3999,SF,68F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Good Insulation,1990s,1960-2000,Cold,No,44.93,-93.05,2679.787581761415,1547.447581761415,1132.34,2513.963639937322,0.0,5.2604,11479.593818645944,3.9958,0.96,33225.467225424836,39107.696674851504,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy|Mn Energy Res Corp,252.30163873025225,84.10054624341741
