Area,Company,Item,2020,2021,2022,2023
Utah, Total of All Companies,Commercial Volume,44215551,43970173,47599923,49598855
Utah, Total of All Companies,Industrial Volume,40119191,39747183,38178933,34807908
Utah, Total of All Companies,Electric Power Volume,65787594,73894304,78995482,86369144
Utah, Total of All Companies,Vehicle Fuel Volume,269100,280159,315853,263402
Vermont, Total of All Companies,Residential Volume,3808126,3732192,3914921,3648922
Vermont, Total of All Companies,Commercial Volume,6974361,7478873,7352817,6858807
Vermont, Total of All Companies,Industrial Volume,2227537,2018380,2169822,1994439
Vermont, Total of All Companies,Electric Power Volume,11896,7927,8138,3379
Vermont, Total of All Companies,Vehicle Fuel Volume,,17793,16849,13751
Virginia, Total of All Companies,Residential Volume,75263763,81261254,84255495,72802079
Virginia, Total of All Companies,Commercial Volume,67529102,71331291,74389857,67733473
Virginia, Total of All Companies,Industrial Volume,104256679,112371717,108304373,108150298
Virginia, Total of All Companies,Electric Power Volume,393056541,439778356,409358573,429229518
Virginia, Total of All Companies,Vehicle Fuel Volume,603143,667058,660504,739672
Washington, Total of All Companies,Residential Volume,87194066,89507498,93930036,86832336
Washington, Total of All Companies,Commercial Volume,55547890,57567019,63092640,59798010
Washington, Total of All Companies,Industrial Volume,78130266,80709039,80040094,72148434
Washington, Total of All Companies,Electric Power Volume,97204100,115067621,99966058,136421918
Washington, Total of All Companies,Vehicle Fuel Volume,121990,134578,219587,239732
West Virginia, Total of All Companies,Residential Volume,22852934,23817971,25048987,21433488
West Virginia, Total of All Companies,Commercial Volume,21490742,22691992,23848650,21757175
West Virginia, Total of All Companies,Industrial Volume,34950040,38008922,37014242,41131607
West Virginia, Total of All Companies,Electric Power Volume,21383682,22772135,19327297,34386629
West Virginia, Total of All Companies,Vehicle Fuel Volume,7124,4339,4047,30189
West Virginia, Total of All Companies,Other Volume,,0,,
Wisconsin, Total of All Companies,Residential Volume,138383785,132368582,149213896,130150128
Wisconsin, Total of All Companies,Commercial Volume,91948674,100906591,116649167,110329788
Wisconsin, Total of All Companies,Industrial Volume,153713868,149841047,150231638,143575215
Wisconsin, Total of All Companies,Electric Power Volume,157751631,190804692,208960954,233994239
Wisconsin, Total of All Companies,Vehicle Fuel Volume,460428,464348,418162,325868
Wyoming, Total of All Companies,Residential Volume,12968171,12844569,13434297,13503994
Wyoming, Total of All Companies,Commercial Volume,12269019,12294465,12977407,13654266
Wyoming, Total of All Companies,Industrial Volume,60368019,48702457,57775889,63451191
Wyoming, Total of All Companies,Electric Power Volume,6299701,8653969,10875808,16005308
Wyoming, Total of All Companies,Vehicle Fuel Volume,9650,8673,10073,12542
Mississippi,3CM MISSISSIPPI PIPELINE,Industrial Volume,7591786,,,
Mississippi,3CM MISSISSIPPI PIPELINE,Electric Power Volume,12300979,,,
Kansas,4 COUNTY ENERGY LLC,Industrial Volume,600234,521345,592127,469745
Texas,5M GAS LLC,Commercial Volume,27842,43086,57605,46605
Texas,5P GAS PIPELINE CO,Industrial Volume,248817,313801,325235,239476
Kansas,ABBYVILLE CITY OF,Residential Volume,3296,2609,2719,2526
Kansas,ABBYVILLE CITY OF,Commercial Volume,418,404,427,397
Kansas,ABBYVILLE CITY OF,Industrial Volume,209,210,245,239
Louisiana,ABITA SPRINGS NATURAL GAS CO,Residential Volume,26977,32523,30519,25059
Louisiana,ABITA SPRINGS NATURAL GAS CO,Commercial Volume,5848,6491,5902,5388
Louisiana,ABITA SPRINGS NATURAL GAS CO,Industrial Volume,23176,32453,27548,26828
